	pielou_evenness
109-FP-ILE	0.41374116323060467
408-ILE	0.511116465308352
411-ILE	0.13764353602919266
561-ILE	0.5215706101393062
569-ILE	0.4732894912437299
570-ILE	0.631131231669619
675-FP-ILE	0.0455110897131435
681-FP-ILE	0.3835769068034361
690-FP-ILE	0.43300220960821284
704-ILE	0.6353548330330613
708-ILE	0.3154754055358481
729-ILE	0.36317528143467637
732-ILE	0.48209223897412307
747-ILE	0.5881782099220383
741-ILE	0.4159921425666448
749-ILE	0.44696498323688516
750-ILE	0.1115365366436467
781-FP-ILE	0.24607715984269915
782-FP-ILE	0.2513409423207393
786-FP-ILE	0.4577861106091804
814-ILE	0.4859861147414486
825-ILE	0.556235581004041
828-ILE	0.3183486343821816
850-ILE	0.5295322273236704
865-FP-ILE	0.40859087207979045
868-FP-ILE	0.5435080172299485
968-ILE	0.8276028384182395
970-ILE	0.10097750780661487
