feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARO.PWY	Sex	Male	1.60764112513434	0.472929173477043	28	28	0.00227061711076032	0.154740553725263
COMPLETE.ARO.PWY	Sex	Male	1.44933261544837	0.425177674065915	28	28	0.00221782695264451	0.154740553725263
GLYCOL.GLYOXDEG.PWY	Sex	Male	-3.03222949803467	0.958860166469887	28	26	0.00452092156547767	0.154740553725263
HISDEG.PWY	Sex	Male	1.99099483563547	0.522695275794591	28	28	0.00146896584113195	0.154740553725263
HISDEG.PWY	Genotype	Q22	-2.1367257789953	0.687665367242344	28	28	0.00482159014824621	0.154740553725263
NONMEVIPP.PWY	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.0040077141649938	0.154740553725263
P105.PWY	Genotype	Q22	-3.64395522891897	0.933760135767875	28	14	0.00115975381174312	0.154740553725263
P125.PWY	Sex	Male	2.46928709114019	0.782782064556023	28	26	0.00543816642484951	0.154740553725263
P125.PWY	Genotype	Q22	-2.86187645800362	0.887786977005485	28	26	0.0037891376160743	0.154740553725263
PWY.5121	Sex	Male	1.21901961878847	0.396126767283556	28	28	0.00501033206684843	0.154740553725263
PWY.5659	Sex	Male	1.32655652858802	0.425061423965759	28	28	0.00450812821859755	0.154740553725263
PWY.6125	Sex	Male	-0.842425942270881	0.270340423322151	28	28	0.00455985841818145	0.154740553725263
PWY.6163	Sex	Male	1.48323236166111	0.430649921497945	28	28	0.00203029981496752	0.154740553725263
PWY.6396	Genotype	Q22	-2.66398319212568	0.840726360173228	28	26	0.0044763043699833	0.154740553725263
PWY.6545	Genotype	Q22	1.88844470760919	0.596124588413649	28	27	0.00410759720930565	0.154740553725263
PWY.7184	Sex	Male	-0.963117135147158	0.307745560883258	28	28	0.00441335350077734	0.154740553725263
PWY.7197	Sex	Male	-1.01252414757671	0.313383147821677	28	28	0.00344421700362622	0.154740553725263
PWY.7228	Sex	Male	-0.862487776154518	0.282639652169168	28	28	0.00533301220169258	0.154740553725263
PWY.7560	Sex	Male	1.39349560287143	0.439711247378407	28	28	0.0040077141649938	0.154740553725263
PWY0.1061	Sex	Male	1.63997353646928	0.468768119639655	28	28	0.00226132311964453	0.154740553725263
PWY0.162	Sex	Male	-0.816478197242707	0.265879518920131	28	28	0.00508968303044767	0.154740553725263
RHAMCAT.PWY	Genotype	Q22	-2.64239393551072	0.810817494360628	28	28	0.00374538506248366	0.154740553725263
HEXITOLDEGSUPER.PWY	Sex	Male	1.56562083776953	0.522334362398783	28	28	0.00694759513207261	0.169641733767395
PWY.6396	Sex	Male	2.27528494419143	0.757366128648457	28	26	0.00731387844117608	0.169641733767395
PWY.7187	Sex	Male	-0.664865066345807	0.228915540869515	28	28	0.00758780917809434	0.169641733767395
PWY.841	Sex	Male	-0.696789034083798	0.238184590657758	28	28	0.00721787226101711	0.169641733767395
PWY0.1533	Sex	Male	2.72216262980686	0.914543882298018	28	16	0.00657467295802442	0.169641733767395
PWY0.166	Sex	Male	-0.668716064771291	0.230023507542926	28	28	0.00753833426083762	0.169641733767395
DENOVOPURINE2.PWY	Sex	Male	-0.692232333964185	0.241368299982804	28	28	0.00827314036640022	0.178585719633329
PWY0.862	Genotype	Q22	-2.87943256388252	1.01606421304669	28	24	0.00899420982248993	0.187679178295957
PWY.922	Sex	Male	-1.59740190902571	0.586837468589918	28	28	0.0116473088978726	0.235200495808653
PWY.5910	Sex	Male	-1.46155095779592	0.545519694588881	28	28	0.0128622582910548	0.236816873241186
PWY.6749	Sex	Male	2.65127670288533	0.971545732282349	28	15	0.012484280746862	0.236816873241186
TRNA.CHARGING.PWY	Sex	Male	0.614335775838293	0.228011841663389	28	28	0.0124205437921881	0.236816873241186
