SampleID	MouseID	Site	Sex	Q22	Startle_PPI	Litter
109	109	COL	Female	WT	Startle_PPI	one
408	408	COL	Female	WT	Startle_PPI	three
411	411	COL	Male	WT	Startle_PPI	three
561	561	COL	Male	KO	Startle_PPI	five
569	569	COL	Female	WT	Startle_PPI	six
570	570	COL	Male	WT	Startle_PPI	six
675	675	COL	Male	WT	NA	nine
681	681	COL	Male	WT	NA	nine
690	690	COL	Female	KO	NA	nine
704	704	COL	Female	WT	Startle_PPI	eleven
708	708	COL	Male	WT	Startle_PPI	eleven
729	729	COL	Female	WT	Startle_PPI	twelve
732	732	COL	Male	WT	Startle_PPI	twelve
741	741	COL	Male	WT	Startle_PPI	twelve
747	747	COL	Male	KO	Startle_PPI	thirteen
749	749	COL	Female	KO	Startle_PPI	thirteen
750	750	COL	Male	WT	Startle_PPI	thirteen
781	781	COL	Female	KO	Startle_PPI	fourteen
782	782	COL	Female	WT	Startle_PPI	fourteen
786	786	COL	Female	WT	Startle_PPI	fourteen
109-FP-ILE	109	ILE	Female	WT	Startle_PPI	one
408-ILE	408	ILE	Female	WT	Startle_PPI	three
411-ILE	411	ILE	Male	WT	Startle_PPI	three
561-ILE	561	ILE	Male	KO	Startle_PPI	five
569-ILE	569	ILE	Female	WT	Startle_PPI	six
570-ILE	570	ILE	Male	WT	Startle_PPI	six
675-FP-ILE	675	ILE	Male	WT	NA	nine
681-FP-ILE	681	ILE	Male	WT	NA	nine
690-FP-ILE	690	ILE	Female	KO	NA	nine
704-ILE	704	ILE	Female	WT	Startle_PPI	eleven
708-ILE	708	ILE	Male	WT	Startle_PPI	eleven
729-ILE	729	ILE	Female	WT	Startle_PPI	twelve
732-ILE	732	ILE	Male	WT	Startle_PPI	twelve
741-ILE	741	ILE	Male	WT	Startle_PPI	twelve
747-ILE	747	ILE	Male	KO	Startle_PPI	thirteen
749-ILE	749	ILE	Female	KO	Startle_PPI	thirteen
750-ILE	750	ILE	Male	WT	Startle_PPI	thirteen
781-FP-ILE	781	ILE	Female	KO	Startle_PPI	fourteen
782-FP-ILE	782	ILE	Female	WT	Startle_PPI	fourteen
786-FP-ILE	786	ILE	Female	WT	Startle_PPI	fourteen
814-COL	814	COL	Male	KO	Startle_PPI	sixteen
814-ILE	814	ILE	Male	KO	Startle_PPI	sixteen
825-COL	825	COL	Female	KO	Startle_PPI	fifteen
825-ILE	825	ILE	Female	KO	Startle_PPI	fifteen
828-COL	828	COL	Female	KO	Startle_PPI	fifteen
828-ILE	828	ILE	Female	KO	Startle_PPI	fifteen
850-COL	850	COL	Male	KO	Startle_PPI	fifteen
850-ILE	850	ILE	Male	KO	Startle_PPI	fifteen
865-FP-COL	865	COL	Male	KO	Startle_PPI	seventeen
865-FP-ILE	865	ILE	Male	KO	Startle_PPI	seventeen
868-FP-COL	868	COL	Female	KO	Startle_PPI	seventeen
868-FP-ILE	868	ILE	Female	KO	Startle_PPI	seventeen
968-COL	968	COL	Male	KO	Startle_PPI	nineteen
968-ILE	968	ILE	Male	KO	Startle_PPI	nineteen
970-COL	970	COL	Male	KO	Startle_PPI	nineteen
970-ILE	970	ILE	Male	KO	Startle_PPI	nineteen
